id,chapter,Question,Answer
1,"Chapter 1","What are the forces acting on an aircraft in flight?","Drag, thrust, lift, and weight."
2,"Chapter 1","When thrust and drag are in equilibrium, an aircraft will maintain","a steady speed."
3,"Chapter 1","For an aircraft to accelerate, thrust must exceed the","value of drag."
4,"Chapter 1","When lift and weight are in equilibrium, an aircraft will","maintain a steady, level attitude."
5,"Chapter 1","For an aircraft to climb, lift must","exceed the weight of the aircraft."
6,"Chapter 1","In a banked turn, weight is a constant, but lift is lost due to the","effective reduction in wing span."
7,"Chapter 1","Therefore, to maintain altitude in a banked turn, the lift value needs to be restored by increasing speed and/or the angle of attack.","(Statement completing the previous concept)"
8,"Chapter 1","What produces the maximum glide range?","A maximum lift-drag ratio, obtained by the aircraft being flown at its optimal angle of attack and corresponding minimum drag speed (VIMD), produces an aircraft's maximum glide range."
9,"Chapter 1","What is the effect of weight on the glide range?","The glide range does not vary with weight, provided that the aircraft is flown at its optimal angle of attack and speed for that weight, because the glide range is proportional to the lift-drag ratio, which does not vary with weight."
10,"Chapter 1","Therefore, if a heavy aircraft were flown at the correct angle of attack and speed, it would glide the same distance as a lighter aircraft.","However, the heavier aircraft would have a higher airspeed than the lighter aircraft, and therefore, although it would glide the same distance, it would take less time to do so."
11,"Chapter 1","What is rate of climb/descent?","Rate of climb/descent is the vertical component of the velocity of an aircraft and determines the time it will take to either climb or descend from a given height. It is normally expressed in terms of feet per minute."
12,"Chapter 1","What is the effect of weight on rate of descent?","The heavier the aircraft, the greater its rate of descent. This is so because a heavy aircraft will fly at a higher airspeed for a given angle of attack, and so its rate of descent will be increased."
13,"Chapter 1","What is an aerofoil?","An aerofoil is a body that gives a large lift force compared with its drag when set at a small angle to a moving airstream, e.g., aircraft wings, tailplanes, rudders, and propellers."
14,"Chapter 1","What is an aerofoil chord line?","The chord line is a straight line from the leading edge to the trailing edge of an aerofoil."
15,"Chapter 1","What is the mean chord line?","The mean chord line is the wing area divided by the wing span (sometimes referred to as the standard mean chord)."
16,"Chapter 1","What is the mean chamberline?","The mean chamberline is a line from the leading edge to the trailing edge of equidistance on the upper and lower surfaces of an aerofoil."
17,"Chapter 1","What is the angle of incidence?","The angle of incidence is the angle between the aerofoil's chord line and the aircraft's longitudinal datum. It is a fixed angle for a wing but may be variable for a tailplane. (It is sometimes called rigging incidence.)"
18,"Chapter 1","What is angle of attack?","Angle of attack is the angle between the chord line of an aerofoil and the relative airflow."
19,"Chapter 1","What is washout on a wing?","Washout is a decrease in the angle of incidence from the wing root to the tip. This compensates for the early stall due to the higher levels of loading experienced at the wing tips."
20,"Chapter 1","What is dihedral?","Dihedral is the upward inclination of a wing from the root to the tip."
21,"Chapter 1","What is anhedral?","Anhedral is the downward inclination of a wing from the root to the tip."
22,"Chapter 1","What is lift?","Lift is the phenomenon generated by an aerofoil due to pressure differences above and below the aerofoil."
23,"Chapter 1","What if the formula for lift?","1/2 R V^2 S CL. 1/2 R = the value of the air density. V^2 = airflow velocity squared. S = wing span area. CL = coefficient of lift. The combined values of these properties determine the amount of lift produced."
24,"Chapter 1","What is coefficient of lift (CL)?","Coefficient of lift (CL) is the lifting ability of a particular wing. It depends on both the shape of the wing section (fixed design feature) and the angle of attack."
25,"Chapter 1","Describe center of pressure.","The center of pressure is represented as a single point acting on the wing chord line at a right angle to the relative airflow, through which the wing's lifting force is produced. The position of the center of pressure is not a fixed point but depends on the distribution of pressure along the chord, which itself depends on the angle of attack."
26,"Chapter 1","Describe the lift-weight pitching moments.","If the forces of lift and weight are not acting through the same point (line), then they will set up a moment causing either a nose-up or nose-down pitch depending on whether the lift is acting in front of or behind the center of gravity point."
27,"Chapter 1","Describe aspect ratio.","Aspect ratio is the ratio of the wing's span to its geometric chord, e.g., 4:1."
28,"Chapter 1","During what phase of flight is lift the greatest?","In general, the takeoff."
29,"Chapter 1","What is direct lift control?","The elevator/stabilizer provides the direct lift control. The elevator and stabilizer are aerofoils that by their positions create an upward or downward balancing force that controls the direct lift force from the main aerofoils (wings), thus determining the attitude of the aircraft around the lateral axis."
30,"Chapter 1","What are high lift devices?","The following devices increase the lift force produced by the wings: 1. Trailing edge flaps (Fowler flaps). 2. Leading edge flaps (Krueger flaps) and slats. 3. Slots (boundary layer control)."
31,"Chapter 1","What is drag?","Drag is the resistance to motion of an object (aircraft) through the air."
32,"Chapter 1","Define the two major types of drag and their speed relationship.","Profile and induced drag total drag. Profile drag is also known as zero-lift drag and is comprised of 1. Form or pressure drag 2. Skin-friction drag 3. Interference drag. Profile drag increases directly with speed. Induced drag is caused by creating lift with a high angle of attack... Thus induced drag is greatest at lower speeds."
33,"Chapter 1","Describe the drag curve for a piston/propeller aircraft.","For a piston-engined propeller aircraft read straight-winged. It has a typical total drag curve comprised of a well-defined steep profile drag curve at high speeds... It also has a well-defined induced drag curve at low speeds."
34,"Chapter 1","Describe the drag curve on a jet aircraft.","The drag curve on a jet aircraft is the same as for a piston aircraft in that it is comprised of induced drag, profile drag, and a VIMD speed, but its speed-to-drag relationship is different. This is so because the jet aircraft has swept wings..."
35,"Chapter 1","Describe the pitching moment associated with the thrust-drag couple.","If the forces of thrust and drag are not acting through the same point (line), then they will set up a moment causing either a nose-up or nose-down pitch depending on whether the thrust is acting above or below the dragline."
36,"Chapter 1","What are high-drag devices?","The following devices increase the drag penalty on an aircraft: 1. Trailing edge flaps (in high-drag/low-lift position). 2. Spoilers (a. In fight detent, used as a speed brake; b. On the ground, used as lift dumpers). 3. Landing gear. 4. Reverse thrust (ground use only). 5. Braking parachute."
37,"Chapter 1","What causes/are wing-tip vortices?","Wing-tip vortices are created by span-wise airflow over the upper and lower surfaces of a wing/aerofoil that meet at the wing tips as turbulence and therefore induces drag, especially on a swept wing."
38,"Chapter 1","What are the effects of span-wise airflow over a wing?","1. Creates wing-tip vortices. 2. Reduced aileron (wing control surface) efficiency. 3. Reversed span-wise airflow increases disturbed airflow on the wing's upper surface at the tip, contributing to a wing-tip stall."
39,"Chapter 1","What are the effects of wing-tip vortices?","1. Create aircraft drag (induced drag...). 2. Vortices create turbulence, which may affect the safety of other aircraft... 3. Downwash affects the direction of the relative airflow over the tailplane..."
40,"Chapter 1","How do you prevent span-wise airflow on a wing, especially a swept wing?","Fences and vortex generators. These items direct the airflow over the wing's upper surface perpendicular to the leading edge."
41,"Chapter 1","What is the purpose of vortex generators/fences?","To reduce span-wise airflow and thereby reduce its effects."
42,"Chapter 1","What are winglets, and how do they work?","Winglets are aerodynamically efficient surfaces located at the wing tips. They are designed to reduce induced drag. They dispense the span-wise airflow from the upper and lower surfaces at different points, thus preventing the intermixing of these airflows that otherwise would create induced-drag vortices."
43,"Chapter 1","What limits an aircraft's structural weight?","The main force generated to balance the aircraft's gross weight is the lift force, and if the lift cannot equal the aircraft's weight, then the aircraft cannot maintain level flight. Therefore, the aircraft weight is directly restricted by the lift capabilities of the aircraft."
44,"Chapter 1","What are the effects of excessive aircraft weight?","If the limiting weight of an aircraft is exceeded, the following effects are experienced: 1. Performance is reduced (Takeoff/landing distance increased, Rate of climb/ceiling reduced, Range/endurance reduced, Max speed reduced). 2. Stalling speed is increased. 3. Maneuverability is reduced. 4. Wear on tires and brakes is increased. 5. Structural safety margins are reduced."
45,"Chapter 1","Describe center of gravity.","The center of gravity (C of G, CG) is the point through which the total weight of a body will act."
46,"Chapter 1","Describe a component arm.","The definition of a component arm is the distance from the datum to the point at which the weight of a component acts (center of gravity point)."
47,"Chapter 1","Describe center of gravity moment.","The moment is the turning effect/force of a weight around the datum. It is the product of the weight multiplied by the arm: Moment = weight * arm."
48,"Chapter 1","How is the pitching moment of the lift-weight couple balanced?","When the pitching moment of the lift-weight couple is not balanced perfectly, extra forces are provided by the horizontal tailplane to center the aircraft's pitching moment."
49,"Chapter 1","Describe the center of gravity range.","The center of gravity range relates to the furthest forward and aft center of gravity positions along the aircraft's longitudinal axis, inside which the aircraft is permitted to fly. This is so because the horizontal tailplane can generate a sufficient lift force to balance the aircraft's lift-weight moment couple so that it remains longitudinally stable and retains a manageable pitch control."
50,"Chapter 1","What are the reasons/effects of keeping a center of gravity inside its limits?","The forward position is limited to ensure the aircraft is not too nose heavy... The aft position is limited to ensure the aircraft is not too tail heavy..."
51,"Chapter 1","What are the effects of a center of gravity outside its limits (range)?","If outside forward limit: Nose heavy, increased longitudinal stability, reduced pitch control, large balancing download required. If outside aft limit: Tail heavy, longitudinally unstable, increased pitch control (too responsive), large balancing upload required."
52,"Chapter 1","What factors determine the loading (weight and balance) of an aircraft?","(See Chapter 7, 'Performance,' subchapter, 'Loading.')"
53,"Chapter 1","If you were loading an aircraft to obtain maximum range, would you load it with a forward or aft center of gravity?","An aft center of gravity position/hold loading, for aircraft (especially jet/swept wing) with a nose-up en route attitude will allow it to achieve its maximum possible range."
54,"Chapter 1","How does a forward center of gravity affect the stall speed, and why?","A center of gravity forward of the center of pressure will cause a higher stall speed. This is so because a forward center of gravity would cause a natural nose-down attitude... Therefore, a downward force is induced by the stabilizer... this downward force is in effect a weight and thereby increases the aircraft's overall effective weight."
55,"Chapter 1","Why does a jet aircraft have a large center of gravity range?","A jet aircraft needs a large center of gravity range because its center of gravity position can change dramatically with a large change in its weight during a flight."
